location,present_name,borough,name,desc
Cropsey Avenue on 27th Avenue and Harway Avenue,Mill Road,Brooklyn,Bobby Draxdorf Way," Bobby Draxdorf was fondly named the “mayor” of the neighborhood around Mill Road.  He would be the first to check in on his neighbors if there was a blackout, if the heat was not working properly, or just to see if anyone needed help.  "
62nd Street and 92nd Street,7th Avenue,Brooklyn,Bravo Boulevard, Commemorates 25 years of service to the Bay Ridge/Dyker Heights community by the  Bay Ridge Ambulance Volunteer Organization (BRAVO) .
Berry Street and Wythe Avenue,North 11th Street ,Brooklyn,Brewers Row," Recognizes the revival of the brewing industry in Brooklyn. In 1898, Brooklyn was the home of 48 breweries.  The last of them closed in 1976. In June1996, Brooklyn Brewery opened on North 11th Street, becoming the first commercial brewery in Brooklyn in over 20 years. "
Between Hoyt Street and Bond Street,Bergen Street,Brooklyn,Briana Ojeda Way," Briana Ojeda was an 11-year-old girl from Brooklyn who died tragically in 2010 after suffering an asthma attack.  As Briana's mother was rushing her to the hospital, she was stopped by a police officer, who failed to administer life-saving CPR, claiming he was not able to perform it.  As a result of her death, her family has fought, lobbied for Briana’s Law,  which would require police officers in New York State to be retrained on cardiopulmonary resuscitation (CPR) every two years.  (Levin)"
From Marcy Avenue to Stuyvesant Avenue,Gates Avenue,Brooklyn,Bro. George Washington Way “Legendary Boxing Trainer”," George Washington (1927-2006), raised in Birmingham, Alabama, joined the Marine Corps and became a member of the United States Marine Corps Boxing Team. His record in 114 professional fights was 100 wins and 14 defeats with 80 knockouts. Before his death, he trained boxers voluntarily for over ten years at the New Bedford-Stuyvesant Boxing Center."
Lincoln Place and Berkeley Place,Seventh Avenue,Brooklyn,Brooklyn Conservatory Way," The Brooklyn Conservatory of Music was founded in 1897.  Its two campuses, one in Queens and the other here in Park Slope, have provided professional training in music for over a century as well as free and subsidized musical instruction to people of all ages."
West 19th Street and the Intersection at Surf Avenue,None,Brooklyn,Brooklyn Wall of Remembrance Way," This co-naming honors the many Brooklynites who lost their lives during the infamous attack on the World Trade Center on September 11, 2001."
At the intersection of West 29th Street and Neptune Avenue,None,Brooklyn,Brother Jack SanFilippo Way,"  Jack A. SanFilippo, known as “Brother Jack,” (d. 1984) founded the Coney Island Gospel Assembly in 1956.  Since then, it has been open 24-hours a day, seven days a week providing crisis intervention, counseling, and placement services for drug addicts.  Throughout his life, Brother Jack helped troubled teens, single mothers, and many others in need.  He interceded with government agencies on behalf of the people of Coney Island, including going to court to speak on someone’s behalf, and also performed hundreds of funerals, weddings and baptisms.  He was a role model to hundreds of children and found ways for youth to occupy their time in a safe and productive manner after school.   Currently, the Coney Island Gospel Assembly is led by his daughter, Pastor Constance SanFilippo-Hulla (Treyger)"
The Lewis Avenue Triangle at Fulton Street and the Green Street space located at Fulton Street and Lewis Avenue,None,Brooklyn,Charles C. Pinn Triangle, Charles C. Pinn (d. 1995) was a youth organizer and a legislative assistant to Assemblyman Al Vann and NYC Council Member Annette Robinson.  He was elected secretary of the Brooklyn Branch of the NAACP and was active in organizations serving both youth and seniors.
St. Marks Avenue and Park Place,Brooklyn Avenue,Brooklyn,Charles E. Inniss Avenue," Charles Evans Inniss (1935-1997) held important positions with the Brooklyn Public Library, Brooklyn Model Cities, and the Bedford Stuyvesant Restoration Corporation before joining Brooklyn Union Gas in 1979.  He also served on the board of the Brooklyn Children’s Museum, which is on this street."
Northeast corner of 72nd Street and 11th Avenue,none,Brooklyn,Charles J. Mauro 9/11 Memorial Way," Charles J, Mauro (b. 1963) worked at the Windows on the World restaurant in the World Trade Center.  He was killed in the terrorist attack of September 11, 2001"
Dumont Avenue and Hegeman Avenue,Milford Street,Brooklyn,Charlie Santiago Drive," Charlie Santiago (1997-2005) was well known by the residents in the neighborhood for his angelic smile and how respectful he was to everyone.  He was the president of his 2nd grade class and had a bright future ahead of him.  Sadly, he was killed by a speeding car while crossing the street to meet his mother at an ice cream truck."
Intersection of Manhattan Ave and Greenpoint Avenue,None,Brooklyn,Charno Way," Honors Joseph, Edmund and Larry Charno for establishing Joe’s Department Store and the Harrico Pharmacy serving the Greenpoint community for over 30 years."
"Intersection of Fulton Street, Ralph Avenue and MacDougal Street",None,Brooklyn,Chief Charles A. Joshua Plaza," Chief Charles Adebowale Joshua (1924-1999), served 13 years in the military.  He attended the U.S. Army Adjutant General School, majoring in Business Administration and later studied social work at Adelphi University. Beginning in 1973, as Executive Director of the Central Brooklyn Coordinating Council, Inc., he worked to stimulate cooperation among community agencies.."
5th Avenue and 6th Avenue,58th Street ,Brooklyn,Chief Patrick Brennan Way, Patrick Brennan (1935-1999) joined the New York City Police Department in 1965 and rose through the ranks to become Assistant Chief of Police in 1997. He remained in that capacity until his retirement in 1998. (RGPR)
Intersection of 73rd Street and Ridge Boulevard,None,Brooklyn,Christ Church Lane," In honor of the 160 year history of Christ Church,  which has made significant contributions to the community and is a hub for area arts and cultural events."
Between Gerritsen Avenue and Burnett Street.,Avenue X,Brooklyn,Christopher Columbus Drive, This naming marked the 500th Anniversary of Columbus' landing in the New World.  The action was requested by the Knights of Columbus
Intersection of Avenue D and East 40th Street,None,Brooklyn,Christopher Rose Way," Christopher Rose and his friends were attacked by a gang of teenagers who demanded one friend’s iPod. Christopher, aged 15, was stabbed twice in the chest and died.  His death led to the establishment of the Christopher Rose Community Empowerment Campaign (CRCEC) to reduce violence."
Between 3rd Place and 4th Place,Court Street,Brooklyn,Citizens of Mola di Bari Way," Honors the 50th anniversary of the Van Westerhout Cittadini Molesi Social Club, a club for immigrants from Mola, Italy.  The Club and its members have made many contributions to civic life in Carroll Gardens, Brooklyn and the City of New York."
Between Sackett Street and Union Street,Henry Street,Brooklyn,Citizens of Pozzallo Way," The Society of the Citizens of Pozzallo,  founded in 1919, has helped the poor and underprivileged by promoting education and by contributing to science and medical research.  "
Between North 8th and North 9th Streets.,Havemeyer Street,Brooklyn,Columbus Way, This naming marked the 500th Anniversary of Columbus' landing in the New World.  The action was requested by the Knights of Columbus
Southeast corner of Ridge Boulevard and 84th Street,none,Brooklyn,"Constantine ""Gus"" Economos 9/11 Memorial Way"," Constantine Economos (b. 1960) worked for Sandler & O’Neill Partners at the World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Southwest corner of Convent Avenue and West 143rd Street,None,Manhattan,W. Haywood Burns Corner," W. Haywood Burns (1940-1995) was a distinguished civil rights lawyer and former Dean of of CUNY Law School at Queens College.  While in South Africa to attend an international conference in South Africa, he was killed by a truck running a stop sign."
From 141st Street to 155th Street,Bradhurst Avenue,Manhattan,W.E.B. DuBois Avenue," W.E.B. DuBois (1868-1963) was a sociologist, educator and accomplished author; one of the founders of the NAACP; and a consultant to the United Nations upon its formation in San Francisco in 1945 as head of the Council of African Affairs.  He was a longtime resident of Harlem.  "
James Street and Oliver Street,St. James Place,Manhattan,Walter Jonas Judah Street," Walter Jonas Judah, born 1778, was the first identifiable native-born Jewish student to attend an American medical school, Kings College, now known as Columbia University. In 1795, during his studies, a Yellow Fever Epidemic ravaged New York. While many others fled the City, he stayed to treat the sick. While doing so, he succumbed to Yellow Fever himself and died at the age of 22. (RGPR)"
Northeast corner of Seventh Avenue and Christopher Street,None,Manhattan,Wes Joice Corner," John Wesley Joice (1931-1997) was the proprietor of The Lion's Head which he moved to 59 Christopher Street in 1996. During the 30 years that followed, The Lion's Head became famous as a literary gathering place and Greenwich Village landmark. It closed in 1996. "
Bounded by Broome St and Grand St,Pitt St,Manhattan,William “Bill” Sicklick Place," Bill Sicklick (1932-1995), a Korean War veteran who worked at Lazard Freres for 39 years, was active in his community.  He was a member of Community Board 3 and served several ties as its vice president.  In 1969 he helped form the 7th Precinct Auxiliary Police and was a captain at the time of his death from a heart attack at age 62.  He served on the Gouverneur Hospital Community Board and was active in veterans' and charitable groups and the Bialystoker Synagogue."
At the northwest corner of Elizabeth Street and Spring Street,None,Manhattan,William and Sarah Richio Way," In the late 1970's, William Richio served on the Area Policy Board on the Lower East Side where he fought for the rights of the poor and  helped youths with drug problems.  Sarah Richio was the founder and Executive Director of the Neighborhood Council to Combat Poverty.   Together, they established and helped preserve the Judson Healthcare Clinic on Spring Street."
Between 5th Avenue and Madison Avenue,East 48th Street,Manhattan,William Goldberg Way," William Goldberg (1925-2003) was known as the “King of Diamonds” for his leadership in the diamond industry. He was an active member in the Gemological Institute of America and the Diamond Dealers Club, and was involved in many charitable organizations."
At the southeast corner of East 112th Street and Lexington Avenue,None,Manhattan,William Soto Way," William Soto was a community leader in East Harlem.   During the Civil Rights Movements of the 1960’s, he was integral in helping to build connections between African-American and Latino political leaders.  He sat on the board of directors for the organization, Massive Economic Neighborhood Development (MEND) and helped to found several other organizations, including El Grito del Barrio, Aguilar Senior Citizens, and Concerned Citizens of East Harlem.  He devoted himself to helping his community through his passion for baseball as well, hosting a sports radio program, “Amateur Sports”, a newsletter and had a baseball team sponsored by Eastern Airlines and Goya Foods. He advocated for local teams, many of which were made up of young Puerto Ricans, and fought to ensure that improvements were made to local fields.  (Mark-Viverito)"
Between 155th Street and 163rd Street,At Harlem River Drive / Polo Grounds Service Road,Manhattan,Willie Mays Drive," Willie Mays had an illustrious career with the Giants, first at the Polo Grounds and then in San Francisco.  He was inducted into the Baseball Hall of Fame in 1979.  "
Between 153rd Street and 155th Street,St. Nicholas Place,Manhattan,Willie Mays Place," Willie Mays had an illustrious career with the Giants, first at the Polo Grounds and then in San Francisco.  He was inducted into the Baseball Hall of Fame in 1979."
On the Corner of Audubon Avenue,171st Street,Manhattan,Wilson Batista Corner," Dominican-born Wilson Batista (1978-2006) was an outstanding classical pianist who studied at Julliard and the Manhattan School of Music and who performed around the world.  He died suddenly of a brain aneurism on June 18, 2006.  "
Intersection of 13th Avenue and 79th Street,None,Brooklyn,Andrew Torregrossa Jr. Way," Andrew Torregrossa Jr. (1925-2011) was County Commander of the American Legion, a Trustee of the Brooklyn Public Library, and was actively involved in Catholic charities for over 26 years..  "
Between 5th Avenue and 7th Avenue,36th Street,Brooklyn,Angel Luis Gautier Way," Angel Luis Gautier (1947-1999), a bus operator for over 20 years, was killed in the line of duty on November 25, 1999.  A member of the Transport Workers Union-Local 100, he had also served in the U.S. Army in Vietnam.."
At the intersection of 84th Street and Ridge Boulevard,None,Brooklyn,Angela Piccini Canadé Way," Angela Piccini Canadé (d. 2010), a Dyker Heights resident, was a longtime columnist for the Home Reporter and Sunset News.  She was a supporter for the Guild for Exceptional Children, a not-for-profit organization that offers services for developmentally disabled children and adults."
At the southwest corner of 77th Street and 21st Avenue,None,Brooklyn,Angelo “Chubby” Campanella," Angelo Campanella (1926-2009)was an ice cream vendor in Bensonhurst for 50 years. His commitment to helping others was evident one afternoon when he saved a customer’s baby from choking to death, rushing the mother and child to the hospital just in time to save the child’s life.  He also once pulled a mother and baby out from a flipped car that was in danger of catching fire; and helped capture a hit-and-run driver by blocked the roadway with his ice cream truck. He organized and carried out food drives, block parties and toy drives; and fundraisers  for cancer patients.  He also donated countless ice cream cones to children who were short of change (Greenfield)"
Intersection of Bleecker Street and Knickerbocker Avenue,None,Brooklyn,Anna Chineda Carter Square," Anna Chineda Carter (1932-2009) was chair of Community Board 4 in the 1970s. Under her leadership, CB 4 developed the Bushwick Action Plan to revitalize the community.  After a 1977 fire obliterated 23 buildings, Ms. Carter successfully urged that the fire site be the location for a new 83rd Police Precinct station house..  "
Atlantic Avenue to Dean Street,Brooklyn Avenue,Brooklyn,Anna Marie Blinn ," Anna Marie Blinn (b. 1916) was involved in a wide variety of community efforts over 60 years including saving the Franklin Avenue shuttle, winning landmark status for Eastern Parkway, and securing a new building for the Brooklyn Children’s Museum.  "
Northeast corner of Avenue U and West 9th Street,None,Brooklyn,Constantino Tino DeCorato Way," Constantino DeCorato (b. 1982)  was shot and killed on July 23, 2004 in a robbery at Telco Stores while protecting his sister and other co-workers."
Southwest corner of 81st Street and 16th Avenue,None,Brooklyn,Cpl. Joseph Basile Way," Cpl. Joseph Basile (1925-1997) was in the initial landing force on Omaha Beach on June 6, 1944. He was awarded a “Bronze Star With V” for heroic action against an armed enemy on September 20, 1944 for saving the lives of 12 men.."
Between Shore Parkway and 61st Street,18th Avenue,Brooklyn,Cristoforo Colombo Boulevard," This naming marked the 500th Anniversary of Columbus' landing in the New World.   In recognition of the Italian-American community in this area, it uses the Italian form of Columbus' name."
Between East 42nd and 43rd Streets.,2nd Ave,Manhattan,Yitzhak Rabin Way," Yitzhak Rabin (1922-1995) was a Prime Minister of Israel.   In 1994, after initiating a peace  agreement with Yasser Arafat of the Palestine Liberation Organization, he was awarded the Nobel Peace Prize along with Arafat and Israeli Foreign Minister Shomon Peres.   The following year, while addressing a Peace Rally in Tel Aviv, he was assassinated by an Israeli extremist.  The Israeli Consulate and UN Mission are located on this block."
At the southeast corner of East 120th Street and Lexington Avenue,None,Manhattan,Yolanda Sanchez Place," Yolanda Sanchez was an author, educator, social worker, community organizer, and administrator.  She was the executive director of, and helped create, the Puerto Rican Association for Community Affairs (PRACA) in the 1960’sShe was instrumental in the creation of three major institutions for the poor and working class of East Harlem: Taino Towers (Section 8 housing), Boriken Health Center (primary care) and Casabe Houses (senior housing). (Mark-Viverito)"
At the intersection of East 111th Street and Lexington Avenue,None,Manhattan,Young Lords Way," The Young Lords, which began as a Chicago street gang, evolved into a political group.  In 1969, its NYS chapter was formed as a human rights organization, highlighting issues of poverty and social inequality.  Some members went on to careers in the media, including Pablo Guzman, Juan Gonzalez, and Geraldo Rivera."
Northeast corner of 66th Street and 12th Avenue,None,Brooklyn,Annie Lautato’s Corner," Antoinette ""Annie"" Lautato,  the mother of twin daughters,  was a school crossing guard at Regina Pacis School from 1986 to 1993 and was also instrumental in the school's fundraising and other volunteer activities.  She was a volunteer school librarian at Regina Pacis for  5 years and founded the school's Luncheon Program."
At the corner of Central Avenue and Palmetto Street,None,Brooklyn,Anthony Aristedes Delgado Way," Anthony Delgado was killed when he was struck by a tow truck in a hit-and-run accident. Because of the accident, a traffic signal was installed at the intersection where he was killed.  He was thirteen years old."
Between 10th Avenue and 12th Avenue,40th Street,Brooklyn,Anthony Brizzi Place," Anthony Brizzi (1934-2000) and his brothers went into the family business, The Brizzi Funeral Home.  He associated himself with the five parishes that encompassed his community by serving on their religious and civic committees. He and his brother Nick were very involved in the funding of the Council of Neighborhood Organizations, which Anthony served as Vice-President for 15 years."
Intersection of 21st Street and 4th Avenue,None,Brooklyn,Anthony J. Leone Way," Anthony J. Leone (1940-2006), owner of a funeral home on 4th Avenue, never turned anyone away for lack of funds and would never accept any money for the funeral of a child.  "
At Bay 8th Street and Cropsey Avenue,Dyker Beach Park,Brooklyn,Anthony Mosomillo Memorial Courts," These handball and basketball courts are named for Police Officer Anthony Mosomillo (1962-1998), who grew up in Bensonhurst.  He was killed in the line of duty by a suspect on whom he was sent to execute a bench warrant (RGPR) "
Intersection of Bay 34th Street and 86th Street,None,Brooklyn,Anthony Neglia Way," Anthony Neglia (1928-2008) was a leader with the 86th Street-Bensonhurst Community Merchants.  He started the 86th Street Festival, worked with the Kiwanis Club and provided scholarships for Bishop Kearney students."
Southeast corner of Graham Avenue and Withers Street,None,Brooklyn,"Anthony Pastena, Sr. Corner"," Anthony Pastena (1914-2004) dedicated his life to organizations that promoted his passion for heritage, community and the nation.  He served for 22 years as president of the Society of St. Mary of the Snow, a cultural organization founded by the first Italians living in Greenpoint and named in honor the patron saint of their home town of Sanza, Italy.  "
Between Stanhope and Stockholm Streets,Knickerbocker Avenue,Brooklyn,Arie A. Bucheister Way," Arie Bucheister and his wife Beth operated the Knickerbocker Boy’s and Men’s store, a family owned business for 23 years.  Arie was also active in the Knickerbocker Avenue Merchant Association.   On February 1, 2003, Arie Bucheister was shot and killed in his store at the young age of 45."
Between 3rd and 4th Avenues,59th Street,Brooklyn,Arleen Ramos Way," Arleen Ramos (1958-2004) was a long-time community activist and a member of Community Board 7 where she chaired the youth committee.  She was the Director of Alternative Sanctions at the Red Hook Community Justice Center, where she was an integral part  of one of the most innovative developments in the field of Criminal Justice. "
Northeast corner of 12th Avenue and 67th Street,none,Brooklyn,Arturo Angelo Sereno 9/11 Memorial Way," Arturo Angelo Sereno (b. 1971) was killed in the terrorist attack on the World Trade Center on September 11, 2001"
At the intersection of 66th Street and 16th Avenue,None,Brooklyn,Assistant Principal Linda A. Romano Place," Ms. Romano was  assistant principal of the American Experience Academy at nearby Edward B. Shallow IS 227. She won many accolades as an educator, and was active in community service in both Bay Ridge and in her home borough of Staten Island.  She was selected by The Brooklyn Historical Society to be interviewed on camera on the history of Bay Ridge and the building of The Verrazano Bridge.  She was a reading volunteer at P.S. 4 in Staten Island, president of the Parents Association at the College of Staten Island, assistant coach for St. Joseph/St. Thomas Parish girl’s soccer teams, and raised funds for the Staten Island Sharks Ice Hockey league. (Menchaca)"
Between Manhattan Avenue and Graham Avenue/ Avenue of Puerto Rico.,Seigel Street,Brooklyn,Aurea M Blanco Walk," Born Aurea Montanez in Puerto Rico in 1920, Ms. Blanco came to New York in 1945.  She was one of the original pioneers behind the construction of the Borinquen Plaza housing development and was instrumental in the formation of the Borinquen Plaza Tenants Association, which she served as Treasurer.   She was also President of the I.S. 49 PTA, and from 1978 to her death was Secretary of the Borinquen Senior Citizens Center. She died in  1995 at age 74. "
between East 23rd Street and East 25th Street,First Avenue,Manhattan,V.A. Hospital Way, The Manhattan Veterans Administration Hospital is a 166-bed center affiliated with the New York University Medical Center.  It is the home of all VA cardiac and neurosurgical care in the New York area. 
between East 23rd Street and East 25th Street,First Avenue,Manhattan,Veterans Way, Manhattan's V.A. hospital is affiliated with the New York University Medical Center and is the home of all of the administration's cardiac and neurosurgical care in the metropolitan region.  It is regarded by medical experts as a star in the nation's constellation of veterans' hospitals. 
Between Broadway and West End Avenue,West 81st Street,Manhattan,Victor Wald Way," Victor Wald (b. 1951) worked at Avalon Partners in the World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Northeast corner of West 135th Street and Amsterdam Avenue,None,Manhattan,Vinegar Hill Corner," Vinegar Hill, along Amsterdam Avenue from 131st Street to 135th Streets was a mix of people with a strong sense of community. In World War II it created the monthly Vinegar Hill Gazette, to report on its men and women in uniform. The community lost 30 members during World War II, who are still remembered today."
Between Second Avenue and Third Avenue,East 104th Street,Manhattan,Union Settlement Way," Union Settlement opened in 1895 and serves the East Harlem community with educational programming for youth, job preparation, assistance and programs for seniors and health screenings."
Broadway and Fourth Avenue,East 14th Street,Manhattan,Union Square South, This designation was intended to call attention to the revitalization of the southern border of Union Square. (RGPR)
Between Delancey Street and Rivington Street,Eldridge Street,Manhattan,University Settlement," University Settlement, founded in 1886, was the first settlement house in the United States. It provides childhood and education programs, mental health services, eviction prevention, domestic violence services, programs for older adults, and adult literacy classes."
Northeast corner of Shore Road and 74th Street,None,Brooklyn,Auxiliary Captain Linying Gong Way," Linying Gong served in the Auxiliary Police for 37 years and was the first Asian woman to be a Captain, working out of the 68th Precinct in Brooklyn.  Although diagnosed with cancer, she remained dedicated to the Auxiliary Police and even visited with other cancer patients.  "
Between East 56th Street and East 57th Street,Avenue M,Brooklyn,Avenue M – Mary Queen of Heaven Way," This designation marked the 75th anniversary of Mary Queen of Heaven Church.  Its lower level was competed, and its first Mass celebrated, in 1927.  The parish school was opened in 1951. In June of 1997, just one week after the installation of a new pastor, the Church was destroyed by fire but has since been completely rebuilt.  "
Between Broadway and Amsterdam Avenue,West 120th Street,Manhattan,Teachers College Way," This co-naming honors Teachers College, the oldest and largest graduate school of education in the United States.  For over 100 years, Teachers College has been a leader in the field of education and is ranked among the nation’s best. (Dickens) "
At the intersection of 228th Street and Broadway,None,Manhattan,Ted Corbitt Way," Ted Corbitt (1919-2007), a pioneer of ultramarathon running in the United States, was a co-founder and the first president of the New York Road Runners Club."
Between West and Washington Streets.,Morris Street,Manhattan,Teddy Gleason St," Thomas William (Teddy) Gleason (1900-1992) was the oldest of 13 children. He quit school at 15 to join his father and grandfather on the docks. He worked many different jobs on the docks until 1932, when he was  blacklisted by employers for his activities on behalf of the International Longshoremen's Association.  When the union was recognized under the New Deal, he returned to the docks and rose in union ranks.  He was elected International President of the ILA in 1963 and continued in that post for nearly a quarter century. "
Between Rivington Street and Stanton Street,227 Bowery at Prince Street,Manhattan,The Bowery Mission Way," The Bowery Mission is the third oldest Rescue Mission in the United States.  It has been serving New York City’s homeless since 1879, providing meals, shelter, showers, clothing and medical care."
the intersection of 145th Street and Frederick Douglas Boulevard,none,Manhattan,The Claude Brown Corner," Claude Brown (1937-2002) was the author of the 1965 novel “Manchild in the Promised Land,” based on his own childhood growing up in Harlem.   Sent to reform school for the first time at the age of 11, he eventually became a lawyer, writer and lecturer.  The adjacent block of Frederick Douglass Boulevard has been named Manchild Way, in recognition of his book."
Between 124th Street at Marcus Garvey Park and 142nd Street,Fifth Avenue ,Manhattan,The Honorable Percy E. Sutton Avenue," Percy Sutton (1920-2009), after serving as a New York State Assemblyman, was Borough President of Manhattan from 1966 to 1977.  In 1967 he convened the first caucus of Afro-American elected and appointed officials at the University of Chicago.  He was also a successful businessman and was Chairman of the Executive Committee of the Greater Harlem Chamber of Commerce.   "
between Mott Street and Mulberry Street,Grand Street,Manhattan,The Order Sons of Italy Way," The Order of Sons of Italy is the largest and oldest national organization for men and women of Italian heritage in the United States. Founded as a mutual aid society on Grand Street in 1905, it  now has more than 600,000 members and supporters and  more that 700 chapters across the United States. "
Bounded by Broadway and Park Ave South,20th St,Manhattan,Theodore Roosevelt Way," Named for the 26th President of the United States.  The Theodore Roosevelt National Memorial, a reconstruction of the brownstone house in which Roosevelt was born in 1858, is located at 2 East 20th Street."
SE corner of New St and Pitt St,None,Manhattan,Thomas A. Wylie Plaza," Thomas Wylie (1964-1995) lived in Whitestone, Queens, for most of his youth.  He joined the NYFD in 1994. On December 27 of that year, while fighting a two-alarm fire in Lower Manhattan, he was overcome by smoke after he and his fellow firefighters had rescued 18 residents by aerial ladders.  Wylie suffered two cardiac arrests.  He was rushed to Bronx Municipal Hospital and then Montefiore Medical Center.  He died of carbon monoxide poisoning on January 3, 1995."
Between 150th Street and 155th Street,Edgecombe Avenue,Manhattan,Thurgood Marshall Boulevard, Thurgood Marshall (1908-1993) was an American jurist and the first African-American to serve on the United States Supreme Court.  He served for 24 years compiling a liberal record that included strong support for Constitutional protection of individual rights.
Fifth Avenue and First Avenue,East 110th Street,Manhattan,Tito Puente Way," Tito Puente (1923-2000) lived in East Harlem.  As a composer and performer of Latin jazz and salsa, he was perhaps the most important figure in America’s Latin Music scene in a career spanning more than 50 years. "
Southwest corner of Isham Street and Seaman Avenue,None,Manhattan,Tommy Dowd Way," Tommy Dowd (b. 1964) grew up in Inwood, and attended Dominican College.   His life was cut short on September 11, 2001 at the World Trade Center where he was working for Cantor Fitzgerald."
The north side of West 43rd Street between Sixth Avenue and Broadway.,West 43rd Street,Manhattan,Town Hall Way," This naming marked the 75th anniversary of Town Hall, which is the site of many important lectures, civic events, and musical performances.  Speakers here have included Winston Churchill and Eleanor Roosevelt.  The 1,500-seat hall was built by the League for Political Education, an organization of women active in the suffrage movement.  Opened in 1921, it is now a National Historic Landmark."
Between 8th Avenue and Broadway,West 49th Street,Manhattan,Saint Malachy's Way," In addition to being a beloved parish church, St. Malachy’s has long been  a spiritual home to the theatrical community, and has come to be known as “The Actors’ Chapel.”  St. Malachy’s also serves the community with a program to feed and help the elderly poor, as well as provide a residence for these individuals, across the street from the Church."
The east side of First Ave between East 30th Street and East 34th Street.,First Avenue,Manhattan,Samuel D. Leidesdorf Way," Samuel D. Leidesdorf (1881-1968) had hoped to be a doctor but had to go to work as an office boy to support his family. He became a bookkeeper, studied accounting, and in 1905 founded what became one of the nation's largest accounting firms.  While still in his twenties he began a lifetime of philanthropy in support of medical and educational institutions.  He was instrumental in the creation of the NYU Medical Center on its present site on First Avenue, and was Chair of its Board from 1956 until his death in 1968."
At the intersection of 135th Street and Lenox Avenue,None,Manhattan,Samuel J. Battle Plaza," In 1911 Samuel J. Battle (1883-1966) became the first African-American appointed to the NYPD. He served the 38th Precinct in Harlem for many years.  He became the first African-American to be become Sergeant in 1926, and the first African-American Lieutenant in 1935."
Between Brook Avenue and Willis Avenue,East 140th Street,Manhattan,Sandra Hernandez Place," Sandra Hernandez (1952-2007) was the founder and Executive Director of Mott Haven’s Freedom Community Center, which provides housing for domestic violence victims, Alcoholics Anonymous meetings, health and human services, HIV testing,  and summer youth programs."
Between First Avenue and Avenue A,St. Marks Place,Manhattan,Sara Curry Way, Sara Curry (1865-1940) founded the Little Missionary’s Day Nursery in 1896.  It provides affordable day care to children of all ethnic and religious backgrounds.  The Day Nursery continues to serve its community by dedicating a portion of its income to provide tuition assistance.
Between West 85th Street and West 86th Street,West End Avenue,Manhattan,Sareve Dukat Avenue," Sareve Dukat (b. 1948) worked for the New York State Department of Taxation and Finance at the World Trade Center. She was killed in the terrorist attack of September 11, 2001."
SW corner at the intersection of Varick St and Ericsson Place,None,Manhattan,Sergeant Finbar Devine Corner," Finbar Devine (1929-1995) was the co-founder and longtime leader of the New York City Police Department Band.  For decades he was a familiar figure, leading the NYPD band in parades and civic ceremonies.  A graduate of New York University, Devine joined the NYPD in 1951, was promoted to Sergeant in 1972 amd retired in 1985.  Stationed in the 1st Precinct, he served nearly 35 years.  He also served 25 years in the 69th Regiment of the National Guard, reaching the rank of Master Sergeant."
At the northwest corner of Washington Place and 6th Avenue,None,Manhattan,Sgt. Charles H. Cochrane Way," Charles H. Cochrane (1944-20 8)was the first openly gay New York City Police Department officer.  In 1981, he testified at a City Council meeting in support of New York City’s gay rights bill. At the meeting, he testified that he was very proud of being a New York City policeman and equally proud of being gay.  He stood up for what he believed in during a time when there weren’t many openly gay police officers.  He went on to help form the Gay Officers Action League (GOAL), the first Gay, Lesbian, Bisexual and Transgender Law Enforcement Group in the United States, which set the pattern for establishing GOAL chapters that now exist in every major police department in the United States and helped advance civil rights issues in relation to sexual orientation. (Johnson)"
At the intersection of 177th Street and Audubon Avenue,None,Manhattan,Sgt. Jose Enrique Ulloa Way," Sgt. Jose Enrique Ulloa (1984-2008), a graduate of Washington Irving High School, was killed in the line of duty in Sadr City, Iraq when his vehicle encountered an explosive device."
Bounded by Park Ave and Madison Ave,E 33rd St,Manhattan,Sholem Aleichem Place," Sholem Aleichem, which literally means ""peace be with you,""  was the pen name of Solomon Naumovich Rabinovitch (1859-1916).  An author of stories, novels and plays, he was probably the most widely read writer in the Yiddish language.  Among his numerous works are the Tevye stories, the basis of the musical ""Fiddler on the Roof.""   A building on this block houses the offices of The Forward, founded in 1897 as a Yiddish-language newspaper and now publshed in both Yiddish and English editions."
Between Fifth and Madison Avenues,East 104th Street,Manhattan,R. Lonnie Williams Place," Richard Lonnie Williams began his career with Boys Harbor, Inc. as a young counselor in 1954.  In 1964 he became an official of the U.S Labor Department, directing a youth employment program, and was later district director of the U.S. Office of Economic Opportunity.  In 1969 he became Executive Director of Boys Harbor and with its founder, Anthony D. Duke, helped build it into an organization with a staff of 200 serving some 4,000 boys and girls annually. He died in 1995 at age 60.."
Between Lexington Avenue and Third Avenue,East 29th Street,Manhattan,Rabbi Sidney Kleiman Way," Rabbi Sidney Kleiman (1912-2013) was the longest serving and oldest active congregational Rabbi in the United States before he died at the age of 100.  Rabbi Kleiman was born on the Lower East Side, grew up in the Bronx and attended Yeshiva University. He led the antebellum Congegation Adereth El from 1939 until 1999.   The synagogue itself was founded in 1857 and moved to its present site at 133 East 29th Street, in 1863.   (Mendez)



"
